37.829112,-122.165361,Hatton Canyon,4
35.684429,-121.168427,Hearst San Simeon State Historical Monument,4
32.730671,-115.528168,Heber Dunes State Vehicular Recreation Area,4
39.08514,-123.485069,Hendy Woods State Park,4
37.06966,-122.107071,Henry Cowell Redwoods State Park,4
37.188801,-121.548813,Henry W. Coe State Park,4
36.782532,-121.438141,Hollister Hills State Vehicular Recreation Area,4
41.211651,-124.113731,Humboldt Lagoons State Park,4
40.284721,-124.056976,Humboldt Redwoods State Park,4
37.271881,-119.270233,Hungry Valley State Vehicular Recreation Area,4
33.670078,-118.020721,Huntington State Beach,4
37.32687,-121.898003,Indian Grinding Rock State Historic Park,4
34.019795,-118.421099,Indio Hills Palms,4
38.35696,-122.5438,Jack London State Historic Park,4
41.798191,-124.084023,Jedediah Smith Redwoods State Park,4
37.271881,-119.270233,John B. Dewitt State Reserve,4
37.271881,-119.270233,John Little State Reserve,4
37.271881,-119.270233,Jug Handle State Reserve,4
36.160709,-121.668213,Julia Pfeiffer Burns State Park,4
34.00708,-118.365379,Kenneth Hahn State Recreation Area,4
39.232658,-120.016922,Kings Beach State Recreation Area,4
37.271881,-119.270233,Kruse Rhododendron State Reserve,4
37.32687,-121.898003,La Purísima Mission State Historic Park,4
37.59269,-121.709846,Lake Del Valle State Recreation Area,4
39.552399,-121.464401,Lake Oroville State Recreation Area,4
33.866322,-117.168427,Lake Perris State Recreation Area,4
38.870159,-120.01313,Lake Valley State Recreation Area,4
37.32687,-121.898003,Leland Stanford Mansion State Historic Park,4
37.32687,-121.898003,Leo Carrillo State Park,4
33.670078,-118.020721,Leucadia State Beach,4
36.953362,-122.027733,Lighthouse Field State Beach,4
36.008579,-121.518127,Limekiln State Park,4
41.012508,-124.111511,Little River State Beach,4
37.32687,-121.898003,Los Angeles State Historic Park ,4
34.1604,-118.498199,Los Encinos State Historic Park,4
35.31057,-120.826958,Los Osos Oaks State Reserve,4
39.48885,-123.789207,MacKerricher State Park,4
38.006699,-122.633102,Mailliard Redwoods State Reserve,4
37.32687,-121.898003,Malakoff Diggins State Historic Park,4
34.100842,-118.711128,Malibu Creek State Park,4
